32913,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4597,Level 2.1,Children’s Services Employee - On commencement,2,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32914,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4598,Level 2.2,Children’s Services Employee - After 1 year,3,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32915,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4593,Level 2.2,Support Worker - After 1 year,3,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32916,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4626,Level 6.3,Children’s Services Employee—Director - After 2 years,3,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32917,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4594,Level 3.1,Support Worker - On commencement,4,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32918,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4599,Level 3A.1*,Children’s Services Employee - On commencement,4,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32919,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4627,Level 6.4,Children’s Services Employee—Director - On commencement,4,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32920,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4601,Level 3.1,Children’s Services Employee - On commencement,4,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32921,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4628,Level 6.5,Children’s Services Employee—Director - After 1 year,5,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32922,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4600,Level 3A.2*,Children’s Services Employee - After 1 year,5,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32923,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4602,Level 3.2,Children’s Services Employee - After 1 year,5,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32924,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4605,Level 4A.1,Children’s Services Employee - On commencement,6,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32925,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4603,Level 3.3,Children’s Services Employee - After 2 years,6,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32926,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4629,Level 6.6,Children’s Services Employee—Director - After 2 years,6,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32927,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4606,Level 4A.2,Children’s Services Employee - After 1 year,7,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
32928,MA000120,Children’s Services Award 2010,1870,120,2010-01-01 00:00:00.0000000,NULL,3,2025,4630,Level 6.7,Children’s Services Employee—Director - On commencement,7,14.1,Children’s services employees,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,WITH_CLASSIFICATION,1,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000,2025-12-15 05:47:17.7700000
